Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Maru,08.06.5375366,-66.18167011,13.71,442.8211,220.7394,335.519,-288.994,"Maru, GJ 3483, BPM 4834, L 97-3, LAWD 27, LTT 3059, NLTT 19008, WD 0806-661, WD 0806−66, GSC 08936−01284, 2MASS J08065373−6618167, GEN# +6.00204834, uvby98 986097003, WG 12",https://en.wikipedia.org/wiki/WD_0806%E2%88%92661
Matar,22.43.00,30.1316,2.93,28.8,152.9,13.1197,-25.6381,"Matar, η-Peg, Eta Pegasi, 44-Peg, 44 Pegasi, HR 8650, HD 215182, NSV 14285, HIP 112158, TYC 2736-1823-1",https://in-the-sky.org/data/object.php?id=TYC2736-1823-1
Matza,13.24.3613,-51.30159,7.01,38.7102,240.435,-33.67,-19.1,"Matza, HIP 65426",https://www.universeguide.com/star/65426/hip65426
Mazaalai,11.25.059859,41.0140665,11.46,13.5711,85.1729,-1.142,13.523,"Mazaalai, HAT-P-21, TOI-1800, TIC 17993892, TYC 3013-1229-1, GSC 03013-01229, 2MASS J11250598+4101406",https://en.wikipedia.org/wiki/HAT-P-21
Mebsuta,06.43.55,25.0751,2.99,12.7,202.4,-4.8396,-11.7417,"Mebsuta, ε-Gem, Epsilon Geminorum, 27-Gem, 27 Geminorum, HR 2473, HD 48329, NSV 3183, HIP 32246, TYC 1897-1639-1, Gaia EDR3- 3384529341302871296",https://in-the-sky.org/data/object.php?id=TYC1897-1639-1
Megrez,12.15.25,57.0157,3.3,104.3,85.5,103.9785,8.1833,"Megrez, δ-UMa, Delta Ursae Majoris, 69-UMa, 69 Ursae Majoris, HR 4660, HD 106591, NSV 5513, HIP 59774, TYC 3837-1070-1, Gaia EDR3- 1575287046603605888",https://in-the-sky.org/data/object.php?id=TYC3837-1070-1
Meissa,05.35.08,9.5602,3.53,3.0,186.6,-0.3448,-2.9801,"Meissa, λ-Ori, Lambda Orionis, 39-Ori, 39 Orionis, HR 1879, HD 36861, NSV 2240, HIP 26207, TYC 705-2400-1",https://in-the-sky.org/data/object.php?id=TYC705-2400-1
Mekbuda,07.04.0653079,20.34130739,3.93,7.3015,266.781,-7.29,-0.41,"Mekbuda, ζ Gem, 43 Gem, BD+20°1687, FK5 269, HD 52973, HIP 34088, HR 2650, SAO 79031, WDS J07041+2034A",https://en.wikipedia.org/wiki/Zeta_Geminorum
Meleph,08.40.1809670,19.31551636,7.535,38.2228,251.5162,-36.251,-12.118,"CCDM J08404+1932, WDS J08405+1933",https://en.wikipedia.org/wiki/Epsilon_Cancri
Menkalinan,05.59.31,44.565,1.9,56.4,269.0,-56.3914,-0.9843,"Menkalinan, β-Aur, Beta Aurigae, 34-Aur, 34 Aurigae, HR 2088, HD 40183, HIP 28360, TYC 2924-2742-1",https://in-the-sky.org/data/object.php?id=TYC2924-2742-1
Menkar,03.02.16,4.0523,2.54,77.6,187.7,-10.3973,-76.9003,"Menkar, α-Cet, Alpha Ceti, 92-Cet, 92 Ceti, HR 911, HD 18884, HIP 14135, TYC 58-1618-1",https://in-the-sky.org/data/object.php?id=TYC58-1618-1
Menkent,14.06.40,-36.2211,2.05,734.4,225.1,-520.2048,-518.3921,"Menkent, θ-Cen, Theta Centauri, 5-Cen, 5 Centauri, HR 5288, HD 123139, HIP 68933, TYC 7293-2215-1",https://in-the-sky.org/data/object.php?id=TYC7293-2215-1
Menkib,03.58.5790229,35.47277132,4.04,4.0165,64.3281,3.62,1.74,"46 Per, HR 1228, HD 24912, FK5 148, SAO 56856, HIP 18614, BD+35°775",https://en.wikipedia.org/wiki/Xi_Persei
Merak,11.01.50,56.2256,2.35,88.0,67.6,81.3601,33.5342,"Merak, β-UMa, Beta Ursae Majoris, 48-UMa, 48 Ursae Majoris, HR 4295, HD 95418, NSV 5053, HIP 53910, TYC 3827-1079-1",https://in-the-sky.org/data/object.php?id=TYC3827-1079-1
Merga,14.49.1867062,46.06583369,5.76,78.3352,184.6892,-6.404,-78.073,"Merga, Marrha, El Mara el Musalsela, Falx Italica, h Boötis, 38 Boo, BD+46°1993, FK5 1383, GC 19959, HD 130945, HIP 72487, HR 5533, SAO 45226",https://en.wikipedia.org/wiki/38_Bo%C3%B6tis
Meridiana,19.09.2834097,-37.54161022,4.09,128.1288,228.5183,84.87,-95.99,"Meridiana, α CrA, Alf CrA, CD−38°13350, FK5 718, GC 26360, HD 178253, HIP 94114, HR 7254, SAO 210990, IRAS 19060-3759, 2MASS J19092834-3754157",https://en.wikipedia.org/wiki/Alpha_Coronae_Australis
Merope,03.46.195859,23.5654092,4.18,50.1388,254.8839,13.075,-48.404,"Merope, 23 Tau, V971 Tauri, HR 1156, BD+23°522, HD 23480, HIP 17608, SAO 76172, GC 4512, CCDM J03463+2357A",https://en.wikipedia.org/wiki/Merope_(star)
Mesarthim,01.53.31813,19.173788,3.86,124.1839,231.5992,77.138,-97.321,"5 Ari, BD+18 243, HIP 8832, WDS J01535+1918",https://en.wikipedia.org/wiki/Gamma_Arietis
Miaplacidus,09.13.12,-69.4302,1.67,190.7,304.8,-156.5932,108.8351,"Miaplacidus, β-Car, Beta Carinae, HR 3685, HD 80007, HIP 45238, TYC 9200-2603-1",https://in-the-sky.org/data/object.php?id=TYC9200-2603-1
Mimosa,12.47.43,-59.4119,1.31,45.9,249.4,-42.9651,-16.1495,"Mimosa, β-Cru, Beta Crucis, HR 4853, HD 111123, HIP 62434, TYC 8659-3107-1",https://in-the-sky.org/data/object.php?id=TYC8659-3107-1
Minchir,08.38.4543747,3.20291701,4.48,25.1578,230.7426,-19.48,-15.92,"σ Hya, 5 Hydrae, BD+03°2026, FK5 1224, HD 73471, HIP 42402, HR 3418, SAO 116988",https://en.wikipedia.org/wiki/Sigma_Hydrae
Minelauva,12.55.35,3.235,3.41,472.8,263.5,-469.7608,-53.5225,"δ-Vir, Delta Virginis, 43-Vir, 43 Virginis, HR 4910, HD 112300, NSV 6026, HIP 63090, TYC 294-1032-1, Gaia EDR3- 3704342295607157120",https://in-the-sky.org/data/object.php?id=TYC294-1032-1
Mintaka,05.32.00,-0.1756,2.23,0.9,137.2,0.6115,-0.6604,"Mintaka, δ-Ori, Delta Orionis, 34-Ori, 34 Orionis, HR 1852, HD 36486, HIP 25930, TYC 4766-2445-1, Gaia EDR3- 3220756843825383936",https://in-the-sky.org/data/object.php?id=TYC4766-2445-1
Mira,02.19.2079210,-2.58394956,2.0,237.5433,267.749,9.33,-237.36,"Stella Mira, Collum Ceti, Wonderful Star, ο Ceti, 68 Ceti, BD−03°353, HD 14386, HIP 10826, HR 681, LTT 1179, SAO 129825",https://en.wikipedia.org/wiki/Mira
Mirach,01.09.43,35.3714,2.07,208.6,122.5,175.9315,-112.0807,"Mirach, β-And, Beta Andromedae, 43-And, 43 Andromedae, HR 337, HD 6860, NSV 414, HIP 5447, TYC 2286-1329-1",https://in-the-sky.org/data/object.php?id=TYC2286-1329-1
Miram,02.50.41,55.5343,3.76,21.2,129.6,16.3349,-13.5134,"η-Per, Eta Persei, 15-Per, 15 Persei, HR 834, HD 17506, HIP 13268, TYC 3704-1332-1, Gaia EDR3- 454491381981202944",https://in-the-sky.org/data/object.php?id=TYC3704-1332-1
Mirfak,03.24.19,49.514,1.81,35.4,137.8,23.7789,-26.2245,"Mirfak, α-Per, Alpha Persei, 33-Per, 33 Persei, HR 1017, HD 20902, NSV 1125, HIP 15863, TYC 3320-2808-1",https://in-the-sky.org/data/object.php?id=TYC3320-2808-1
Mirzam,06.22.41,-17.5721,1.96,3.3,256.4,-3.2075,-0.776,"Mirzam, β-CMa, Beta Canis Majoris, 2-CMa, 2 Canis Majoris, HR 2294, HD 44743, HIP 30324, TYC 5938-2918-1",https://in-the-sky.org/data/object.php?id=TYC5938-2918-1
Misam,03.09.29,44.5127,3.79,224.7,129.7,172.8841,-143.5311,"κ-Per, Kappa Persei, 27-Per, 27 Persei, HR 941, HD 19476, NSV 1055, HIP 14668, TYC 2859-2274-1",https://in-the-sky.org/data/object.php?id=TYC2859-2274-1
Mizar,13.23.55,54.553,2.22,124.6,100.5,122.5136,-22.7065,"Mizar, ζ-UMa, Zeta Ursae Majoris, 79-UMa, 79 Ursae Majoris, HR 5054, HD 116656, NSV 6224, HIP 65378, TYC 3850-1385-1, Gaia EDR3- 1563590579347125632",https://in-the-sky.org/data/object.php?id=TYC3850-1385-1
Moldoveanu,16.02.118462,28.101042,11.19,22.7911,40.4284,-17.349,14.78,"Moldoveanu, BD+28 2507, TOI-2021, TIC 236312126, TYC 2041-1657-1, GSC 02041-01657, 2MASS J16021184+2810105",https://en.wikipedia.org/wiki/XO-1
Montuno,04.25.290168,-30.26016109,10.1,2.6244,85.1475,-0.222,2.615,"Montuno, WASP-79, 2MASS J04252901-3036016 b, TYC 7038-834-1 b, CD-30 1812 b, SAO 195000 b, GSC 7038-834 b, Gaia DR2 4884779765893739904 b, Montuno b","https://simbad.u-strasbg.fr/simbad/sim-id?protocol=html&Ident=WASP-79, https://openexoplanetcatalogue.com/planet/WASP-79%20b/"
Morava,23.46.399747,31.0921374,12.18,30.8373,191.229,30.247,-6.005,"Morava, TOI-6015, TIC 288246496, WASP-60, TYC 2767-1746-1, 2MASS J23463997+3109213",https://en.wikipedia.org/wiki/WASP-60
Moriah,20.24.297235,16.4543812,11.94,14.4174,202.4471,13.325,-5.505,"Moriah, TYC 1632-1396-1, GSC 01632-01396, 2MASS J20242972+1645437",https://en.wikipedia.org/wiki/HAT-P-23
Mothallah,01.53.04,29.3443,3.41,234.5,177.4,10.6376,-234.2586,"Mothallah, α-Tri, Alpha Trianguli, 2-Tri, 2 Trianguli, HR 544, HD 11443, HIP 8796, TYC 1763-3028-1",https://in-the-sky.org/data/object.php?id=TYC1763-3028-1
Mouhoun,04.50.178614408264,-24.2207833769068,7.911,27.1037,227.0453,18.469,-19.837,"CD−24 2616, Gaia DR3 4893980371818915456, HD 30856, HIP 22491, SAO 169805, TIC 612908, TYC 6466-1769-1, GSC 06466-01769, 2MASS J04501787-2422077",https://en.wikipedia.org/wiki/HD_30856
Mpingo,01.57.03204,0.453188,10.56,24.3976,196.2912,23.418,-6.844,"Mpingo, BD+00 316, TOI-388, TIC 422655579, WASP-71, TYC 30-116-1, 2MASS J01570320+0045318",https://en.wikipedia.org/wiki/BD%2B00_316
Muliphein,07.03.45493,-15.375983,4.1,11.4728,184.6546,-0.931,-11.435,"Muliphein, Muliphen, γ Canis Majoris, 23 Canis Majoris, BD−15°1625, FK5 271, GC 9320, HD 53244, HIP 34045, HR 2657, SAO 152303",https://en.wikipedia.org/wiki/Gamma_Canis_Majoris
Muphrid,13.54.41,18.2354,2.68,361.5,189.7,-60.9089,-356.3318,"Muphrid, η-Boo, Eta Bootis, 8-Boo, 8 Bootis, HR 5235, HD 121370, HIP 67927, TYC 1470-1157-1",https://in-the-sky.org/data/object.php?id=TYC1470-1157-1
Muscida,08.30.15,60.4303,3.36,171.6,231.1,-133.5465,-107.7585,"Muscida, O-UMa, Omicron Ursae Majoris, 1-UMa, 1 Ursae Majoris, HR 3323, HD 71369, NSV 4093, HIP 41704, TYC 4127-2431-1, Gaia EDR3- 1041808368494264576",https://in-the-sky.org/data/object.php?id=TYC4127-2431-1
Musica,20.58.2593353,10.50214309,5.506,60.6875,235.345,-49.921,-34.509,"Musica, 18 Del, BD+10°4425, GC 29266, HD 199665, HIP 103527, HR 8030, SAO 106712, WDS J20584+1050A",https://en.wikipedia.org/wiki/18_Delphini
Muspelheim,02.12.3147875,51.46435637,11.83,10.1314,10.1764,-9.972,1.79,"Muspelheim, TYC 3293-1539-1, GSC 03293-01539, 2MASS J02123147+5146435",https://en.wikipedia.org/wiki/HAT-P-29
Márohu,23.12.3773683,-22.40262738,11.9,43.8271,212.0604,-23.264,-37.143,"Márohu, TOI-231, TIC 204376737, WASP-6, TYC 6972-75-1, 2MASS J23123773-2240261, DENIS J231237.7-224025, UCAC2 22823425",https://en.wikipedia.org/wiki/WASP-6
Mönch,14.47.327262,-0.1653308,8.04,191.554,222.9332,-130.476,-140.246,"Mönch, BD+00 3243, HD 130322, HIP 72339, LTT 5873, NLTT 38386",https://en.wikipedia.org/wiki/HD_130322
Nahn,09.09.21541,22.024358,5.15,9.6846,71.0375,-3.147,9.159,"Nahn, ξ Cnc, 77 Cancri, BD+22°2061, FK5 1239, GC 12635, HD 78515, HIP 44946, HR 3627, SAO 80666, WDS J09094+2203AB",https://en.wikipedia.org/wiki/Xi_Cancri
Naledi,05.48.3359333,-63.59183884,10.21,30.3684,59.4433,-15.439,26.151,"Naledi, CPD−64 484, TOI-102, TIC 149603524, WASP-62, TYC 8900-874-1, GSC 08900-00874, 2MASS J05483359-6359183",https://en.wikipedia.org/wiki/WASP-62
Naos,08.03.35,-40.0011,2.22,34.1,299.3,-29.7376,16.6879,"Naos, ζ-Pup, Zeta Puppis, HR 3165, HD 66811, HIP 39429, TYC 7663-4093-1, Gaia EDR3- 5534788672055388032",https://in-the-sky.org/data/object.php?id=TYC7663-4093-1
Nashira,21.40.05,-16.3944,3.68,188.9,96.8,187.5712,-22.3665,"Nashira, γ-Cap, Gamma Capricorni, 40-Cap, 40 Capricorni, HR 8278, HD 206088, HIP 106985, TYC 6362-1078-1",https://in-the-sky.org/data/object.php?id=TYC6362-1078-1
Natasha,09.50.024969,-49.4724958,8.54,67.2131,243.6795,29.8018,-60.245,"Natasha, CD−49°4727, Gaia DR2 5406324138654973824, HD 85390, HIP 48235, SAO 221526, 2MASS J09500249-4947250",https://en.wikipedia.org/wiki/HD_85390
Nekkar,15.01.56,40.2325,3.48,50.7,233.5,-40.7555,-30.1575,"Nekkar, β-Boo, Beta Bootis, 42-Boo, 42 Bootis, HR 5602, HD 133208, NSV 6898, HIP 73555, TYC 3047-1258-1, Gaia EDR3- 1296713990316692096",https://in-the-sky.org/data/object.php?id=TYC3047-1258-1
Nembus,01.37.59,48.3739,3.58,128.5,150.7,62.8856,-112.0609,"51-And, 51 Andromedae, HR 464, HD 9927, HIP 7607, TYC 3282-2271-1, Gaia EDR3- 399402894487590144",https://in-the-sky.org/data/object.php?id=TYC3282-2271-1
Nenque,01.04.4015027,-39.29175842,7.71,554.6514,197.8519,-170.033,-527.946,"Nenque, CD–40°239, GJ 9037, HD 6434, HIP 5054, SAO 192911, LFT 102, LHS 1188, LPM 57, LTT 610, GCRV 51158, 2MASS J01044015-3929173",https://en.wikipedia.org/wiki/HD_6434
Nervia,06.51.3051621,40.52039241,8.1,127.4939,254.215,34.682,-122.686,"Nervia, BD+41°1544, HD 49674, HIP 32916, SAO 41390, PPM 49392, TYC 2946-426-1, GSC 02946-00426",https://en.wikipedia.org/wiki/HD_49674
Nganurganity,07.01.43,-27.5605,3.47,7.5,310.6,-5.6945,4.8808,"σ-CMa, Sigma Canis Majoris, 22-CMa, 22 Canis Majoris, HR 2646, HD 52877, HIP 33856, TYC 6531-3793-1, Gaia EDR3- 5610441600394646016, Unurgunite",https://in-the-sky.org/data/object.php?id=TYC6531-3793-1
Nihal,05.28.14,-20.4532,2.84,86.2,183.3,-4.962,-86.0571,"Nihal, β-Lep, Beta Leporis, 9-Lep, 9 Leporis, HR 1829, HD 36079, NSV 2008, HIP 25606, TYC 5928-1657-1, Gaia EDR3- 2968097043227107840",https://in-the-sky.org/data/object.php?id=TYC5928-1657-1
Nikawiy,15.19.0620,41.44011,7.88,182.9792,186.168,-19.66,-181.92,"Nikawiy, HD 136418, TYC 3048-172-1, HIP 74961, BD+42 2587",https://www.universeguide.com/star/74961/nikawiy
Noquisi,11.42.1109334,26.42236508,10.68,1209.5644,222.2679,895.088,-813.55,"Noquisi, GJ 436, HIP 57087, LHS 310, LTT 13213, Ross 905, 2MASS J11421096+2642251",https://en.wikipedia.org/wiki/Gliese_436
Nosaxa,06.40.017270,-48.3231042,8.07,39.8115,41.7774,26.524,29.689,"Nosaxa, CD–48 2430, HD 48265, HIP 31895, SAO 218115.",https://en.wikipedia.org/wiki/HD_48265
Nunki,18.55.15,-26.1747,2.07,55.5,164.2,15.1116,-53.4031,"Nunki, σ-Sgr, Sigma Sagittarii, 34-Sgr, 34 Sagittarii, HR 7121, HD 175191, HIP 92855, TYC 6868-1829-1",https://in-the-sky.org/data/object.php?id=TYC6868-1829-1
Nusakan,15.27.49,29.062,3.64,199.6,295.5,-180.156,85.93,"Nusakan, β-CrB, Beta Coronae Borealis, 3-CrB, 3 Coronae Borealis, HR 5747, HD 137909, HIP 75695, TYC 2032-1605-1",https://in-the-sky.org/data/object.php?id=TYC2032-1605-1
Nushagak,02.49.4448710,71.45116292,8.16,96.6603,199.9705,90.848,-33.013,"Nushagak, BD+71°171, HIP 13192, SAO 4737, GSC 04321-01320,   PPM 5099, TYC 4321-1320-1, AG+71 95",https://en.wikipedia.org/wiki/HD_17156
Nyamien,13.55.427120,-32.0934616,10.91,23.9714,248.6606,8.723,-22.328,"Nyamien, CD−31 10766, TOI-820, TIC 111991770, WASP-15, TYC 7283-1162-1, 2MASS J13554270-3209345",https://en.wikipedia.org/wiki/WASP-15
Násti,08.18.2217286,61.2738595,8.2,131.8255,76.6551,128.266,30.427,"Násti, BD+61°1038, HD 68988, HIP 40687, SAO 14494",https://en.wikipedia.org/wiki/HD_68988
Ogma,16.30.2961858,38.2050309,8.15,94.0937,34.0481,-77.963,52.682,"Ogma, BD+38°2787, HD 149026, HIP 80838, SAO 65349, TOI-2024, TIC 255930614, GSC 03063-01587",https://en.wikipedia.org/wiki/HD_149026
Okab,19.05.24,13.5146,2.95,96.1,183.9,-6.5363,-95.8775,"ζ-Aql, Zeta Aquilae, 17-Aql, 17 Aquilae, HR 7235, HD 177724, NSV 11724, HIP 93747, TYC 1052-3027-1, Gaia EDR3- 4314399312979641728",https://in-the-sky.org/data/object.php?id=TYC1052-3027-1
Orkaria,17.15.1893399,4.57500666,14.71,948.0,232.2638,580.202,-749.713,"Orkaria, GJ 1214, G 139-21, LHS 3275, LSPM J1715+0457, NLTT 44431, TIC 467929202, 2MASS J17151894+0457496",https://en.wikipedia.org/wiki/GJ_1214
Paikauhale,16.35.52,-28.1258,2.78,24.9,203.4,-9.889,-22.8521,"τ-Sco, Tau Scorpii, 23-Sco, 23 Scorpii, HR 6165, HD 149438, HIP 81266, TYC 6807-1012-1, Gaia EDR3- 6044420729667868928",https://in-the-sky.org/data/object.php?id=TYC6807-1012-1
Paradys,14.47.51,-79.0241,3.81,17.1,197.5,-5.1421,-16.3086,"α-Aps, Alpha Apodis, HR 5470, HD 129078, HIP 72370, TYC 9436-2393-1, Gaia EDR3- 5773473920382493440",https://in-the-sky.org/data/object.php?id=TYC9436-2393-1
Parumleo,00.15.5080773,1.12015889,11.26,16.5623,6.765,1.951,16.447,"Parumleo, TOI-4523, TIC 427332229, WASP-32, TYC 2-1155-1, 2MASS J00155080+0112016",https://en.wikipedia.org/wiki/WASP-32
Peacock,20.25.38,-56.4405,1.92,86.3,175.4,6.9212,-86.022,"Peacock, α-Pav, Alpha Pavonis, HR 7790, HD 193924, NSV 13060, HIP 100751, TYC 8785-1898-1",https://in-the-sky.org/data/object.php?id=TYC8785-1898-1
Petra,20.12.401694,-2.0839187,11.939,142.2485,249.1269,-132.913,-50.683,"Petra, Gaia DR2 4223507222112425344, TYC 5165-481-1, GSC 05165-00481, 2MASS J20124017-0208391",https://en.wikipedia.org/wiki/WASP-80
Phact,05.39.38,-34.0427,2.66,24.4,176.0,1.7021,-24.3406,"Phact, α-Col, Alpha Columbae, HR 1956, HD 37795, NSV 2549, HIP 26634, TYC 7064-1357-1, Gaia EDR3- 2900546759663847168",https://in-the-sky.org/data/object.php?id=TYC7064-1357-1
Phecda,11.53.49,53.4141,2.39,108.2,84.2,107.6461,10.9343,"Phecda, γ-UMa, Gamma Ursae Majoris, 64-UMa, 64 Ursae Majoris, HR 4554, HD 103287, NSV 5379, HIP 58001, TYC 3833-1034-1",https://in-the-sky.org/data/object.php?id=TYC3833-1034-1
Pherkad,15.20.43,71.5002,3.03,25.2,315.3,-17.7255,17.9121,"Pherkad, γ-UMi, Gamma Ursae Minoris, 13-UMi, 13 Ursae Minoris, HR 5735, HD 137422, HIP 75097, TYC 4414-2314-1",https://in-the-sky.org/data/object.php?id=TYC4414-2314-1
Phoenicia,20.13.598456,-0.520077,7.79,268.2566,76.4766,-62.73,260.819,"Phoenicia, V1703 Aquilae, BD−01° 3925, HD 192263, HIP 99711, HR 7288, SAO 144192, LTT 8003, NLTT 48902",https://en.wikipedia.org/wiki/HD_192263
Phyllon Kissinou,12.34.5108058,22.37453303,4.8,65.3413,25.6748,-58.89,28.31,"Phyllon Kissinou, 23 Com, BD+23°2475, FK5 1323, GC 17142, HD 109485, HIP 61394, HR 4789, SAO 82390, WDS J12349+2238",https://en.wikipedia.org/wiki/23_Comae_Berenices
Piautos,08.20.3213630,24.01203198,5.93,28.1832,227.6935,-20.843,-18.97,"Piautos, λ Cnc, 19 Cancri, BD+24°1909, HD 70011, HIP 40881, HR 3268, SAO 80113",https://en.wikipedia.org/wiki/Lambda_Cancri
Pincoya,18.03.0693302,-28.33383488,9.62,54.6488,219.3603,-34.658,-42.253,"Pincoya, CD–28° 14058, HD 164604, HIP 88414, SAO 186165, PPM 267742",https://en.wikipedia.org/wiki/HD_164604
Pipirima,16.52.20,-38.0103,3.53,25.6,208.2,-12.0973,-22.5614,"μ²-Sco, Mu2 Scorpii, HR 6252, HD 151985, HIP 82545, TYC 7868-1820-1, Gaia EDR3- 5971244451311982336",https://in-the-sky.org/data/object.php?id=TYC7868-1820-1
Pipit,06.37.45,-43.1145,3.15,3.9,187.9,-0.536,-3.863,"ν-Pup, Nu Puppis, HR 2451, HD 47670, NSV 3062, HIP 31685, TYC 7626-2203-1, Gaia EDR3- 5557271829408912896",https://in-the-sky.org/data/object.php?id=TYC7626-2203-1
Pipoltr,17.52.070184,37.3246237,12.402,42.5145,54.8737,-24.462,34.772,"Pipoltr, TrES-3 Parent Star, V1434 Her, TOI-2126, TIC 116264089, GSC 03089-00929, 1SWASP J175207.01+373246.3, UCAC2 45017453",https://en.wikipedia.org/wiki/GSC_03089-00929
Pleione,03.49.112166,24.0812157,4.77,51.4841,247.7481,19.496,-47.65,"Pleione, 28 Tau, BU Tau, BD+23°558, GC 4587, HD 23862, HIP 17851, HR 1180, SAO 76229",https://en.wikipedia.org/wiki/Pleione_(star)
Poerava,23.31.2033846,-58.12350336,7.82,181.1166,181.656,181.041,-5.234,"Poerava, CD−58°8579, HD 221287, HIP 116084, SAO 247912, TYC 8838-463-1, 2MASS J23312032-5812350",https://en.wikipedia.org/wiki/HD_221287
Polaris,02.31.47,89.155,2.0,46.0,104.9,44.4533,-11.8281,"Polaris, α-UMi, Alpha Ursae Minoris, 1-UMi, 1 Ursae Minoris, HR 424, HD 8890, HIP 11767, TYC 4628-237-1",https://in-the-sky.org/data/object.php?id=TYC4628-237-1
Polaris Australis,21.08.4686357,-88.57233983,5.47,26.743,79.8322,26.323,4.721,"Polaris Australis, σ Oct, CPD−89°47, FK5 923, HD 177482, HIP 104382, HR 7228, SAO 258857",https://en.wikipedia.org/wiki/Sigma_Octantis
Polis,18.13.45,-21.0331,3.84,0.6,148.0,0.318,-0.5088,"μ-Sgr, Mu Sagittarii, 13-Sgr, 13 Sagittarii, HR 6812, HD 166937, HIP 89341, TYC 6276-3093-1, Gaia EDR3- 4093933487636355968",https://in-the-sky.org/data/object.php?id=TYC6276-3093-1
Pollux,07.45.19,28.0134,1.22,628.2,265.8,-626.513,-46.0082,"Pollux, β-Gem, Beta Geminorum, 78-Gem, 78 Geminorum, HR 2990, HD 62509, NSV 3712, HIP 37826, TYC 1920-2194-1",https://in-the-sky.org/data/object.php?id=TYC1920-2194-1
Porrima,12.41.40,-1.2658,2.74,617.8,275.7,-614.7453,61.3597,"Porrima, γ-Vir, Gamma Virginis, 29-Vir, 29 Virginis, HR 4825, HD 110379, NSV 5859, HIP 61941",https://in-the-sky.org/data/object.php?id=HIP61941
Praecipua,10.53.18,34.1253,3.79,300.3,162.2,91.8003,-285.9245,"46-LMi, 46 Leonis Minoris, HR 4247, HD 94264, NSV 4999, HIP 53229, TYC 2521-2271-1",https://in-the-sky.org/data/object.php?id=TYC2521-2271-1
Prima Hyadum,04.19.47,15.3739,3.65,118.6,101.4,116.2602,-23.4422,"γ-Tau, Gamma Tauri, 54-Tau, 54 Tauri, HR 1346, HD 27371, NSV 1553, HIP 20205, TYC 1264-1009-1, Gaia EDR3- 3312052249215275904",https://in-the-sky.org/data/object.php?id=TYC1264-1009-1
Procyon,07.39.18,5.1339,0.4,1260.0,214.6,-715.4831,-1037.1518,"Procyon, α-CMi, Alpha Canis Minoris, 10-CMi, 10 Canis Minoris, HR 2943, HD 61421, NSV 3672, HIP 37279",https://in-the-sky.org/data/object.php?id=HIP37279
Propus,06.14.52,22.3024,3.3,63.6,259.0,-62.4315,-12.1355,"Propus, η-Gem, Eta Geminorum, 7-Gem, 7 Geminorum, HR 2216, HD 42995, HIP 29655, TYC 1877-1716-1",https://in-the-sky.org/data/object.php?id=TYC1877-1716-1
Proxima Centauri,14.29.42946,-62.404616,10.43,3859.2281,11.5009,-3781.741,769.465,"Alf Cen C, Alpha Centauri C, V645 Centauri, GJ 551, HIP 70890, CCDM J14396-6050C, LFT 1110, LHS 49, LPM 526, LTT 5721, NLTT 37460",https://en.wikipedia.org/wiki/Proxima_Centauri
Quadrans,15.03.4729565,47.39146228,4.7,446.2821,2.5506,-445.84,19.86,"Quadrans, i Boötis, 40 Boo, BD+48°2259, FK5 3182, GJ 575, HD 133640, HIP 73695, HR 5618, SAO 45357, ADS 9494, CCDM 15038+4739",https://en.wikipedia.org/wiki/44_Bo%C3%B6tis
Ramus,18.08.4549142,20.48524079,4.37,6.195,198.0547,-1.92,-5.89,"Ramus, 102 Her, BD+20°3674, FK5 3443, HD 166182, HIP 88886, HR 6787, SAO 85769, WDS J18088+2049",https://en.wikipedia.org/wiki/102_Herculis
Ran,03.32.55,-9.2729,3.72,975.4,271.1,-975.2202,18.7252,"Ran, ε-Eri, Epsilon Eridani, 18-Eri, 18 Eridani, HR 1084, HD 22049, HIP 16537, TYC 5296-1533-1",https://in-the-sky.org/data/object.php?id=TYC5296-1533-1
Rana,03.43.14,-9.4536,3.53,750.2,352.8,-94.025,744.2844,"δ-Eri, Delta Eridani, 23-Eri, 23 Eridani, HR 1136, HD 23249, HIP 17378, TYC 5303-1320-1, Gaia EDR3- 5164120762333028736",https://in-the-sky.org/data/object.php?id=TYC5303-1320-1
Rapeto,17.04.3087068,-43.18351661,7.39,179.2172,231.8713,110.654,-140.977,"Rapeto, CD–43°11380, HIP 83547, SAO 227597, PPM 322565, LTT 6814, GSC 07881-00474, 2MASS J17043086-4318351",https://en.wikipedia.org/wiki/HD_153950
Rasalas,09.52.45,26.0024,3.88,223.2,255.7,-216.2843,-55.1302,"Rasalas, μ-Leo, Mu Leonis, 24-Leo, 24 Leonis, HR 3905, HD 85503, HIP 48455, TYC 1964-1473-1, Gaia EDR3- 643819484617141504",https://in-the-sky.org/data/object.php?id=TYC1964-1473-1
Rasalgethi,17.14.38,14.2325,3.34,36.8,348.5,-7.3367,36.0612,"Rasalgethi, Alp Her, α¹-Her, Alpha1 Herculis, 64-Her, 64 Herculis, HR 6406, HD 156014, HIP 84345, TYC 990-2133-1",https://in-the-sky.org/data/object.php?id=TYC990-2133-1
